,Sentence,Sentiment
62,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",0
63,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",0
64,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",0
65,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0
66,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",0
67,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,0
68,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",0
69,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+Ãºo , as saying .",0
70,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,0
71,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",0
72,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,0
73,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",0
74,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",0
75,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",0
76,$YANG Double bottom 5.2,0
77,$aapl news is becoming very bullish again http://stks.co/tMU,0
78,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",0
79,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,0
80,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",0
81,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",0
82,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,0
83,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",0
84,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,0
85,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",0
86,The value of the orders is over EUR 10mn .,0
87,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,0
88,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",0
89,Aberdeen Asset Management Gains Foothold In China,0
90,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,0
91,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",0
92,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",0
93,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",0
94,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,0
95,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",0
96,The total value of the contract is some EUR 8 million .,0
97,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",0
98,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,0
99,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",0
100,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",0
101,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",0
102,"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",0
103,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,0
104,$AAPL nibbling on a small long via 525.. buying off 13min charts..,0
105,"$TYC just about to break out to new highs, lots of technicals looking great right now.",0
106,"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",0
107,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",0
108,The adjustment measures will be carried out in phases to secure the delivery capability .,0
109,"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",0
110,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",0
111,"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",0
112,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",0
113,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",0
114,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,0
115,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",0
116,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",0
117,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,0
118,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,0
119,"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",0
120,The plant is expected to enter commercial operation by mid-2009 .,0
121,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,0
122,BG Group appoints new CEO one month early,0
123,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,0
124,RT @bman1 $LNG looks primed also $EGHT poised to run too...,0
125,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,0
126,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,0
127,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",0
128,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,0
129,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,0
130,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,0
131,$VMW  Got a nice push today following small sweepers of May C this morning,0
132,That topped consensus forecasts for earnings of 0.21 euros a share .,0
133,R&D Loan ) .,0
134,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",0
135,"You need to be ready when the window opens up , Rosberg said .",0
136,"More than 50,000 tonnes of asphalt mix will be used in the contract .",0
137,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",0
138,$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,0
139,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",0
140,Nordea was the cheapest also for a couple in their 30s with debt .,0
141,"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",0
142,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",0
143,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",0
144,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,0
145,The solution will now be expanded to include all ground staff tasks .,0
146,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",0
147,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",0
148,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,0
149,CEO Erkki J+Ã±rvinen is happy with the company 's performance in 2010 .,0
150,"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",0
151,"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",0
152,"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",0
153,"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",0
154,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",0
155,The company expects its net sales for the whole 2009 to be at previous year levels .,0
156,"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",0
157,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",0
158,"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",0
159,"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",0
160,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0
161,The main strength of the cooperation project lies in merging the know-how of two large companies .,0
162,Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,0
163,Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,0
164,"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",0
165,The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,0
166,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,0
167,Full-year operating result for 2008 was 3.6 million negative .,0
168,"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",0
169,"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",0
170,We offer our customers solutions based on renewable raw materials .,0
171,A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,0
172,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",0
173,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,0
174,We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,0
175,"The Company serves approximately 3,000 customers in over 100 countries .",0
176,"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",0
177,"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",0
178,HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,0
179,Just went long $ILMN,0
180,`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,0
181,A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,0
182,There have not been previous share subscriptions with 2004 stock options .,0
183,AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,0
184,"The closing of the transaction is scheduled to take place on January 10 , 2008 .",0
185,"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",0
186,"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",0
187,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,0
188,Net sales in 2008 are expected to be on the same level as in 2007 .,0
189,Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,0
190,N-Viro operates processing facilities independently as well as in partnership with municipalities .,0
191,"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",0
192,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,0
193,Tesco sales rise shows tentative recovery continues,0
194,"In Finland , the launch of tie-in sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days .",0
195,$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,0
196,"The company can be split into two parts over the coming months , with Essent owning and operating production and supply , and Enexis owning and operating the grid .",0
197,Officials did not disclose the contract value .,0
198,"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",0
199,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0
200,"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",0
201,The combined company had pro-forma net sales of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .,0
202,Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,0
203,"$TSLA steaming up again, this stock is relentless at the moment",0
204,Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,0
205,Whitbread share price climbs on Q4 sales growth,0
206,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,0
207,"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",0
208,"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th .",0
209,"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",0
210,"Thus the method will cut working costs , and will fasten the planning and building processes .",0
211,COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,0
212,RBS will reportedly appoint Howard Davies as its next chairman,0
213,`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,0
214,SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,0
215,.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,0
216,Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,0
217,"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .",0
218,Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,0
219,The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,0
220,"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+Ã³ ??",0
221,$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,0
222,"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",0
223,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",0
224,"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",0
225,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",0
226,"The plant is scheduled for completion in late February 2007 with hand over of some areas in January Two other suppliers of Nokia - Aspocomp Group Oyj and Perlos - have announced their plans to establish plants within the Nokia complex Together , they will invest Rs 365 crore .",0
227,- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,0
228,"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",0
229,"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",0
230,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,0
231,However short-term rentals are becoming more popular .,0
232,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,0
233,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,0
234,"The device offers multimedia performance along with a host of productivity applications , including live stock prices .",0
235,"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",0
236,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",0
237,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,0
238,"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",0
239,"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",0
240,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",0
241,Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,0
242,"POYRY PLC Additional information by : Heikki Malinen , President and CEO , Poyry PLC tel. +358 10 33 21307 Poyry is a global expert in consulting and engineering .",0
243,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,0
244,Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,0
245,"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",0
246,"Jeder Beta-Tester erh+Ã±lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Ãglichkeit , die finale Version zu beeinflussen .",0
247,"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",0
248,Aviva promises higher dividends to boost flagging share price,0
249,"In addition , MIDs are always online and enable full Internet browsing .",0
250,"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",0
251,The name of the buyer was not disclosed .,0
252,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,0
253,"Under the agreement Benefon 's forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed web-based tracking and location technology , in both consumer and commercial applications .",0
254,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",0
255,"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",0
256,"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .",0
257,The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,0
258,FDA approves AstraZeneca drug for advanced lung cancer,0
259,The order is included in Metso 's fourth quarter 2007 order backlog .,0
260,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .,0
261,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",0
262,The company has an annual turnover of EUR32 .8 m.,0
263,It has80 branches in Finland with annual revenue in Finland of ?,0
264,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",0
265,WPP boosts sales despite cautious clients,0
266,The medium-term operative targets of the company remain unchanged .,0
267,`` Consumers have very well received our packed fresh meat .,0
268,The corrected chapter is in its entirety below .,0
269,"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",0
270,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",0
271,It will provide heating in the form of hot water for the sawmill 's needs .,0
272,"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",0
273,"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",0
274,"The record date for dividend distribution is March 14 , 2008 .",0
275,( I&H ) in a move to enhance growth .,0
276,"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",0
277,"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",0
278,"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",0
